uf,id_municipio,ano,num_empregos_formais_mun,salario_medio_mun,salario_medio_sm_mun,rais_num_professores_ef1_mun,rais_num_professores_ef2_mun,rais_num_professores_em_mun,rais_salario_medio_ef1_mun,rais_salario_medio_ef2_mun,rais_salario_medio_em_mun,rais_salario_medio_ef1_sm_mun,rais_salario_medio_ef2_sm_mun,rais_salario_medio_em_sm_mun
RO,1100015,2009,2224,840.12,1.82,39,60,50,1036.36,1328.06,1133.3,2.24,2.87,2.45
RO,1100023,2009,15379,922.65,2.01,82,652,32,878.12,1622.42,1129.97,1.9,3.51,2.46
RO,1100031,2009,490,958.35,2.08,36,,,1001.23,,,2.16,,
RO,1100049,2009,13039,902.07,1.96,92,6,12,1130.47,775.49,1011.99,2.45,1.67,2.2
RO,1100056,2009,1739,849,1.84,4,,30,584.88,,1119.67,1.26,,2.43
RO,1100064,2009,2052,954.48,2.07,12,1,32,961.54,613.72,4088.23,2.07,1.31,8.85
RO,1100072,2009,795,822.7,1.78,56,12,,1175.38,972.56,,2.55,2.11,
RO,1100080,2009,889,1028.68,2.24,95,,50,1321.54,,1588.35,2.85,,3.43
RO,1100098,2009,3750,848.72,1.85,44,,0,1285.39,,1380,2.79,,3.32
RO,1100106,2009,3312,1006.35,2.18,7,149,65,802.74,1482.69,850.17,1.74,3.21,1.83
RO,1100114,2009,7466,869.28,1.88,38,14,8,814.39,297.9,658.58,1.75,0.64,1.42
RO,1100122,2009,22239,872.4,1.89,545,22,15,988.91,879.32,943.9,2.14,1.9,2.05
RO,1100130,2009,2292,875.5,1.9,0,1,1,2229.51,1660.47,1144.65,4.79,3.57,2.46
RO,1100148,2009,1302,876.14,1.9,,,,,,,,,
RO,1100155,2009,3652,739.46,1.6,10,10,9,888.56,657.28,762.11,1.92,1.41,1.63
RO,1100189,2009,7498,791.74,1.71,110,,1,1138.14,,510,2.45,,1.1
RO,1100205,2009,155800,1536.17,3.33,910,169,1168,3227.27,918.33,3148.21,6.99,1.99,6.84
RO,1100254,2009,1970,827.77,1.8,13,11,12,612.17,1238.37,1406.41,1.33,2.69,3.05
RO,1100262,2009,367,821.39,1.78,12,,,524.93,,,1.14,,
RO,1100288,2009,7108,845.79,1.83,6,18,2,623.6,508.9,837.77,1.37,1.1,1.81
RO,1100296,2009,1068,827.34,1.79,,5,,,593.68,,,1.28,
RO,1100304,2009,14541,958.33,2.08,140,26,24,1484.41,941.06,939.99,3.21,2.03,2.03
RO,1100320,2009,1850,876.22,1.89,5,1,1,1126.02,1247.14,2701.44,2.44,2.67,5.86
RO,1100338,2009,1524,901.78,1.95,97,5,7,1021.04,1176.6,965.86,2.22,2.55,2.11
RO,1100346,2009,1341,1099.13,2.37,2,,0,1021.06,,958.46,2.2,,2.06
RO,1100379,2009,767,908.55,1.97,3,32,1,1249.87,1571.24,1868.16,2.7,3.41,4.06
RO,1100403,2009,1266,919.98,1.99,147,,,1187.25,,,2.57,,
RO,1100452,2009,3036,819.43,1.78,45,1,0,1577.5,594.84,360.44,3.43,1.28,0.78
RO,1100502,2009,652,777.82,1.69,19,4,2,1164.56,758.32,757.7,2.54,1.65,1.63
RO,1100601,2009,391,1042.44,2.27,54,,,944.13,,,2.04,,
RO,1100700,2009,624,1027.82,2.22,,,56,,,1389.76,,,3.01
RO,1100809,2009,1332,894.36,1.94,,,,,,,,,
RO,1100908,2009,392,771.86,1.67,53,,,778.63,,,1.68,,
RO,1100924,2009,1873,911.16,1.97,87,,,1190.71,,,2.58,,
RO,1100940,2009,1347,991.33,2.15,159,,,1448.04,,,3.13,,
RO,1101005,2009,553,986.83,2.14,,,,,,,,,
RO,1101104,2009,910,952.17,2.06,103,,,1115.46,,,2.41,,
