uf,ano,id_municipio,despesa_educ_mun,despesa_educ_perc_pib_mun,despesa_por_matricula_mun,num_matriculas_mun,pib_mun,percentual_admpub_pib_mun,populacao_mun,pib_per_capita_mun
RO,2009,1100015,8417600.06,0.033,2885.705,2917,256986138,0.332,24354,10552.112
RO,2009,1100023,37476299.51,0.033,1913.521,19585,1133094861,0.266,85541,13246.219
RO,2009,1100031,2560092.16,0.037,4604.482,556,69776003,0.349,6695,10422.106
RO,2009,1100049,20460836.45,0.021,2679.172,7637,985478839,0.277,78675,12525.946
RO,2009,1100056,6224662.4,0.033,3716.216,1675,190902128,0.305,16622,11484.907
RO,2009,1100064,4510154.96,0.026,3828.654,1178,174167989,0.344,17822,9772.64
RO,2009,1100072,3136069.32,0.026,3372.118,930,119226020,0.286,9680,12316.738
RO,2009,1100080,6196094.8,0.062,3061.312,2024,99853574,0.488,14452,6909.326
RO,2009,1100098,8473504.32,0.029,2898.907,2923,291490570,0.323,28892,10088.972
RO,2009,1100106,9084149.45,0.017,1621.301,5603,521103575,0.263,40762,12784.053
RO,2009,1100114,17081115.99,0.024,2580.619,6619,722047295,0.251,53943,13385.375
RO,2009,1100122,20902322.76,0.013,2928.316,7138,1640343920,0.221,111010,14776.542
RO,2009,1100130,13002676.15,0.051,2464.028,5277,254438390,0.434,33159,7673.283
RO,2009,1100148,6999366.26,0.043,2631.341,2660,164380536,0.378,17698,9288.085
RO,2009,1100155,11324094.39,0.028,2044.429,5539,399690232,0.317,36725,10883.328
RO,2009,1100189,10187499,0.022,2776.642,3669,471876242,0.242,33984,13885.247
RO,2009,1100205,119858488.36,0.018,2466.63,48592,6841953489,0.197,382829,17872.088
RO,2009,1100254,4883957.8,0.023,2753.077,1774,216194291,0.349,22519,9600.528
RO,2009,1100262,2571848.9,0.064,4050.156,635,40075343,0.341,3290,12180.955
RO,2009,1100288,10605578.2,0.019,2767.635,3832,570998362,0.295,50499,11307.122
RO,2009,1100296,2480014.52,0.028,3968.023,625,89831553,0.353,9348,9609.708
RO,2009,1100304,23329181.62,0.019,2400.122,9720,1244988386,0.208,69866,17819.66
RO,2009,1100320,9190876.65,0.039,2508.427,3664,234784050,0.333,23201,10119.566
RO,2009,1100338,8039174.33,0.044,2129.019,3776,183340003,0.418,22337,8207.906
RO,2009,1100346,6644332.02,0.045,2956.979,2247,146945086,0.4,17127,8579.733
RO,2009,1100379,6141877.2,0.05,2353.21,2610,123304915,0.346,11875,10383.572
RO,2009,1100403,7273888.82,0.049,2414.97,3012,146985451,0.405,17569,8366.182
RO,2009,1100452,12936657.47,0.044,2507.104,5160,290764155,0.394,34693,8381.061
RO,2009,1100502,2964552.31,0.032,2137.385,1387,91842719,0.352,9720,9448.839
RO,2009,1100601,3343970.4,0.05,3584.105,933,66827381,0.327,5736,11650.52
RO,2009,1100700,5397245.32,0.055,2207.462,2445,98734049,0.455,12915,7644.913
RO,2009,1100809,7837371.66,0.047,2441.549,3210,166594830,0.366,17547,9494.206
RO,2009,1100908,2214665.51,0.06,3933.687,563,36777760,0.414,3685,9980.396
RO,2009,1100924,4764460.89,0.038,2896.329,1645,126926429,0.271,7843,16183.403
RO,2009,1100940,7403943.41,0.059,2142.965,3455,126005889,0.395,14889,8463.019
RO,2009,1101005,5686943.6,0.06,2731.481,2082,94025312,0.431,11593,8110.525
RO,2009,1101104,4886814.56,0.061,2666.02,1833,79553729,0.395,8235,9660.441
RO,2009,1101203,5153236.75,0.06,2559.979,2013,86287505,0.439,10572,8161.89
RO,2009,1101302,3904155.04,0.038,1970.8,1981,103670539,0.405,12363,8385.549
RO,2009,1101401,6262032.87,0.052,2393.743,2616,120497483,0.384,12708,9482.018
RO,2009,1101435,4234934.12,0.067,2320.512,1825,62955579,0.444,7944,7924.922
RO,2009,1101450,2200972.03,0.051,3073.983,716,43203743,0.399,4802,8997.031
RO,2009,1101468,1653786.88,0.041,5404.532,306,40422049,0.277,2415,16737.908
RO,2009,1101476,2195698.75,0.067,3886.192,565,32640910,0.472,3765,8669.564
RO,2009,1101484,2625434.75,0.047,2633.335,997,55940129,0.409,6412,8724.287
RO,2009,1101492,8207610.74,0.052,2835.099,2895,156875340,0.368,16491,9512.785
RO,2009,1101500,5423390.11,0.055,2559.41,2119,98812136,0.429,12117,8154.835
RO,2009,1101559,2705394.86,0.061,3077.81,879,44346794,0.407,5010,8851.655
RO,2009,1101609,5368573.16,0.057,2944.911,1823,93931227,0.389,10325,9097.455
RO,2009,1101708,6348909.01,0.057,2537.534,2502,111032028,0.418,13661,8127.665
RO,2009,1101757,4060639.24,0.05,1755.573,2313,81946968,0.392,9100,9005.161
RO,2009,1101807,4649175.81,0.058,2620.73,1774,80137580,0.394,8913,8991.089
AC,2009,1200013,6796401.18,0.072,2517.186,2700,94179964,0.491,12241,7693.813
AC,2009,1200054,3144461.78,0.089,2353.639,1336,35411794,0.625,5662,6254.291
AC,2009,1200104,8531004.81,0.053,2837.992,3006,159563855,0.468,20238,7884.369
