id_municipio,id_municipio_receita,nome
5200050,1050,Abadia de Goiás
3100104,4001,Abadia dos Dourados
5200100,9201,Abadiânia
1500107,401,Abaetetuba
3100203,4003,Abaeté
2300101,1301,Abaiara
2900207,3303,Abaré
4100103,7401,Abatiá
2900108,3301,Abaíra
4200051,9939,Abdon Batista
1500131,375,Abel Figueiredo
4200101,8001,Abelardo Luz
3100302,4005,Abre Campo
2600054,2631,Abreu e Lima
1700251,337,Abreulândia
3100401,4007,Acaiaca
2900306,3305,Acajutiba
2300150,1231,Acarape
2300200,1303,Acaraú
2400109,1601,Acari
1500206,403,Acará
2200053,266,Acauã
4300034,1118,Aceguá
2300309,1305,Acopiara
5100102,9001,Acorizal
1200013,643,Acrelândia
5200134,9645,Acreúna
3500105,6101,Adamantina
5200159,9769,Adelândia
3500204,6103,Adolfo
4100202,7403,Adrianópolis
2900355,3253,Adustina
2600104,2301,Afogados da Ingazeira
2400307,1605,Afonso Bezerra
3200102,5601,Afonso Cláudio
2100105,701,Afonso Cunha
2600203,2303,Afrânio
1500305,405,Afuá
2600302,2305,Agrestina
2200103,1001,Agricolândia
4200200,8003,Agrolândia
4200309,8005,Agronômica
3100807,4015,Aguanil
3500303,6105,Aguaí
4300109,8501,Agudo
3500709,6113,Agudos
4100301,7405,Agudos do Sul
2500205,1903,Aguiar
1700301,72,Aguiarnópolis
3101102,4021,Aimorés
2900603,3311,Aiquara
2300408,1307,Aiuaba
3101201,4023,Aiuruoca
4300208,8503,Ajuricaba
3101300,4025,Alagoa
2500304,1905,Alagoa Grande
2500403,1907,Alagoa Nova
2500502,1909,Alagoinha
2600609,2311,Alagoinha
2200251,9767,Alagoinha do Piauí
2900702,3313,Alagoinhas
3500758,2995,Alambari
3101409,4027,Albertina
2500536,440,Alcantil
5000252,141,Alcinópolis
2900801,3315,Alcobaça
2100204,703,Alcântara
2300507,1309,Alcântaras
2100303,705,Aldeias Altas
4300307,8505,Alecrim
3200201,5603,Alegre
4300406,8507,Alegrete
2200277,2269,Alegrete do Piauí
4300455,8497,Alegria
1500404,407,Alenquer
2400505,1609,Alexandria
5200308,9205,Alexânia
3101607,4031,Alfenas
3200300,5605,Alfredo Chaves
3500808,6115,Alfredo Marcondes
3101631,2681,Alfredo Vasconcelos
4200705,8013,Alfredo Wagner
2500577,442,Algodão de Jandaíra
2500601,1911,Alhandra
2600708,2313,Aliança
1700350,9441,Aliança do Tocantins
2900900,3317,Almadina
1700400,9207,Almas
1500503,409,Almeirim
3101706,4033,Almenara
2400604,1611,Almino Afonso
4100400,7407,Almirante Tamandaré
4300471,1120,Almirante Tamandaré do Sul
5200506,9209,Aloândia
3101805,4035,Alpercata
4300505,8509,Alpestre
3101904,4037,Alpinópolis
5100250,8987,Alta Floresta
1100015,33,Alta Floresta D'Oeste
3500907,6117,Altair
1500602,411,Altamira
2100402,707,Altamira do Maranhão
4100459,8455,Altamira do Paraná
2300606,1311,Altaneira
3102001,4039,Alterosa
2600807,2315,Altinho
3501004,6119,Altinópolis
1400050,305,Alto Alegre
3501103,6121,Alto Alegre
4300554,8495,Alto Alegre
2100436,106,Alto Alegre do Maranhão
2100477,108,Alto Alegre do Pindaré
1100379,2,Alto Alegre dos Parecis
5100300,9005,Alto Araguaia
4200754,886,Alto Bela Vista
5100359,127,Alto Boa Vista
3102050,564,Alto Caparaó
4300570,6045,Alto Feliz
5100409,9007,Alto Garças
5200555,85,Alto Horizonte
3153509,5069,Alto Jequitibá
2200301,1005,Alto Longá
5100508,9009,Alto Paraguai
4100608,7409,Alto Paraná
1100403,675,Alto Paraíso
4128625,5523,Alto Paraíso
5200605,9211,Alto Paraíso de Goiás
2100501,709,Alto Parnaíba
4100707,7411,Alto Piquiri
3102100,4041,Alto Rio Doce
3200359,5719,Alto Rio Novo
2300705,1313,Alto Santo
5100607,9911,Alto Taquari
2400703,1613,Alto do Rodrigues
2200400,1007,Altos
4100509,7951,Altônia
3501152,3065,Alumínio
